Year,Date,Bed,Bath,Sqft,price,Address
2019,24-Mar-19,5,2,1648,1599900,5349 JOYCE STREET
2019,22-Feb-19,6,6,4065,4498000,2307 45th Avenue W
2019,24-Mar-19,6,7,4639,8380000,3883 W 21ST AVENUE
2019,24-Mar-19,6,5,4688,7790000,1926 W 17TH AVENUE
2019,28-Feb-19,6,7,2598,2795000,2108 E 28th Avenue
2019,09-Aug-19,6,6,3844,2799000,6575 Brooks Street
2019,24-Dec-19,6,6,6587,6980000,1519 West 34 Avenue
2019,17-Jul-19,6,3,2628,1599000,5939 Battison Street
2019,22-Jul-19,6,5,3841,2980000,6483 Wiltshire Street
2019,22-Jul-19,6,7,6102,9980000,1539 W King Edward Avenue
2019,22-Jul-19,6,4,2200,1488000,3323 E 23rd Avenue
2019,24-Mar-19,7,8,4985,2888888,749 W 64TH AVENUE
2019,28-Feb-19,7,5,3150,3780000,515 W 60th Avenue
2019,10-Jun-19,7,7,4647,4880000,6618 ASH STREET
2019,21-Oct-19,7,4,3993,8400000,6889 CAMBIE STREET
2019,24-Dec-19,7,6,4333,5538000,8525 Wiltshire Street
2019,01-Apr-19,7,7,3342,2198000,3101 E 46th Avenue
2019,28-Feb-19,7,4,2475,1675000,3305 E 25th Avenue
2019,09-Aug-19,7,2,1886,1380000,4987 Hoy Street
2019,09-Aug-19,7,8,3199,2238800,3066 E 26th Avenue
2019,09-Aug-19,7,4,2149,1848000,448 E 45th Avenue
2020,06-Nov-20,2,3,1466,679000,3459 AMBERLY PLACE
2020,19-Sep-20,2,2,857,659000,5178 Chambers Street
2020,30-May-20,2,2,866,899000,2-1296 Salsbury Drive
2020,12-May-20,2,1,865,799000,32-795 W 8th Avenue
2020,19-Sep-20,2,2,1762,1498000,1571 E 20th Avenue
2020,30-Oct-20,2,3,1501,2200000,3446 W 2nd Avenue
2020,12-Nov-20,2,2,1409,1998900,1367 Walnut Street
2020,01-Dec-20,2,1,785,465000,214-3136 Kingsway
2020,01-Dec-20,2,3,1042,1028000,201-5649 Kings Road
2020,05-Aug-20,2,2,1933,1749000,1859 Semlin Drive
2020,25-Jan-20,3,3,2146,1286000,1438 E 28 Avenue
2020,25-Jan-20,3,3,1766,1638000,8570 Osler Street
2020,25-Jan-20,3,3,2625,2298000,2629 Fraser Street
2020,29-Feb-20,3,4,4370,2498900,750 W 52 Avenue
2020,29-Feb-20,3,3,1672,1798000,5560 Yew Street
2020,07-May-20,3,3,1677,1798000,372 E 16th Avenue
2020,12-May-20,3,1,1402,2789000,836 W 22nd Avenue
2020,19-Sep-20,3,1,1938,2500000,2833 E 49th Avenue
2020,25-Jun-20,3,4,2288,1688000,272 E 9 Street
2020,05-Aug-20,3,1,832,1488888,2785 Graveley Street
2020,18-Mar-20,4,2,2503,1599000,3023 Victoria Drive
2020,22-Jun-20,4,4,1676,1348000,2412 Dundas Street
2020,10-Aug-20,4,3,2697,1495000,5595 Gladstone Street
2020,17-Mar-20,4,3,2419,1550000,2730 Walpole Crescent
2020,17-Mar-20,4,4,3435,2999000,2628 Southwest Marine Drive
2020,19-May-20,4,1,1631,1199000,2736 E 21st Avenue
2020,25-Jun-20,4,2,1577,1495000,2797 Charles Street
2020,27-Sep-20,4,5,4384,3398000,4788 Westport Place
2020,27-Sep-20,4,3,2836,2450000,4409 Woodpark Road
2020,28-Oct-20,4,4,2300,4000000,5828 Granville Streey
2020,25-Jan-20,5,4,2421,2199000,3494 W 22 Avenue
2020,29-Feb-20,5,3,2343,1428000,6182 Beatrice Street
2020,29-Feb-20,5,6,4367,4698000,759 W 50 Avenue
2020,18-Mar-20,5,2,1847,1298000,2255 E 42nd Avenue
2020,18-Mar-20,5,4,2745,1698000,3460 E 2nd Avenue
2020,30-May-20,5,5,2820,3998000,4214 W 14th Avenue
2020,30-May-20,5,4,1860,1499000,6449 St. George Street
2020,22-Jun-20,5,8,7337,14800000,1238 Balfour Avenue
2020,22-Jun-20,5,6,4134,3500000,4019 W 38th Avenue
2020,19-Sep-20,5,4,3508,3598000,6006 Elm Street
2020,25-Jan-20,6,8,4707,7999800,4235 West 29 Avenue
2020,18-Mar-20,6,3,2951,1749000,1749 Grant Street
2020,14-May-20,6,5,3282,3680000,1391 W 46th Ave
2020,12-Nov-20,6,3,2272,1990000,3537 W 24th Avenue
2020,17-Mar-20,6,3,2196,2398000,2990 W 12 AVENUE
2020,19-May-20,6,3,2150,1790000,2612 Duke Street
2020,25-Jun-20,6,7,4020,4680000,4103 W 11 Avenue
2020,05-Aug-20,6,2,2449,1499000,7575 Inverness Street
2020,12-Nov-20,6,6,4014,3750000,1464 Inglewood Avenue
2020,12-May-20,6,8,6688,7580000,6778 Arbutus Street
2020,12-May-20,7,7,3278,2398000,418 E 56th Avenue
2020,05-Aug-20,7,4,2966,2099000,1748 Charles Street
2020,05-Aug-20,7,6,3366,3380000,3015 W 10th Avenue
2020,05-Aug-20,7,8,3447,2148000,7983 Prince Albert Street
2020,25-Oct-20,7,3,2730,2788888,3115 Waterloo Street
2020,25-Oct-20,7,5,3785,2999800,51 E 42nd Ave
2020,25-Oct-20,7,6,4528,5380000,3839 W 35th Ave
2020,25-Oct-20,7,8,3365,2195000,1096 E 56th Ave
2020,20-Nov-20,7,6,4333,4698000,8525 Wiltshire St
2020,15-Dec-20,7,3,2952,2830000,2536 W 8th Ave
2021,07-May-21,2,2,1011,1575000,3170 Burrard Street
2021,24-Feb-21,2,1,869,849900,2889 Yukon Street
