Year,Date,Bed,Bath,Sqft,price,Address
2017,25-Apr-17,3,4,2120,2998800,#2502 1050 BURRARD STREET
2017,25-Apr-17,3,3,1429,2680000,#2204 885 CAMBIE STREET
2017,27-May-17,3,4,3087,6488000,#811 1372 SEYMOUR STREET
2017,27-May-17,3,2,967,910000,#1103 188 KEEFER PLACE
2017,27-May-17,3,3,1610,2189900,#1101 1335 HOWE STREET
2017,27-May-17,3,2,1367,2288888,#3907 777 RICHARDS STREET
2017,27-May-17,3,3,1781,3189900,#2905 1111 RICHARDS STREET
2017,27-Jun-17,3,2,2053,3500000,#304 1102 HORNBY STREET
2017,29-Jul-17,3,2,1462,2188000,#3210 610 GRANVILLE STREET
2017,29-Jul-17,3,3,1838,1888000,#PH1106 1010 HOWE STREET
2017,01-Apr-17,3,2,1216,649000,#PH1 5818 Lincoln Street
2017,25-Aug-17,3,4,1706,3188000,#TH102 1430 STRATHMORE
2017,25-Sep-17,3,3,1508,4098000,#303 628 KINGHORNE MEWS
2017,27-Oct-17,3,2,1447,1450000,#1201 1177 PACIFIC BOULEVARD
2017,02-Nov-17,3,2,980,1098000,#2406 888 HAMILTON STREET
2017,08-Dec-17,3,4,4996,12888000,#4701 938 NELSON STREET
2018,06-Feb-18,1,1,620,559000,#309 3281 E KENT AVENUE NORTH
2018,27-Oct-18,1,2,1255,849000,#201 1850 Lorne Street
2018,27-Oct-18,1,1,688,830000,#1706 888 Homer Street
2018,27-Oct-18,1,1,494,479800,#305 2628 Duke Street
2018,14-Dec-18,1,1,611,649000,#410 2738 Library Lane
2018,22-Jan-18,1,1,612,498000,#201 110 W 4th Street
2018,22-Jan-18,1,1,815,379000,#404 120 E 4th Street
2018,20-Feb-18,1,1,562,655000,#610 1001 Richards Street
2018,20-Feb-18,1,1,740,1049000,#3301 1495 RICHARDS STREET
2018,04-Sep-18,1,1,642,778800,#1402 1133 HOMER STREET
2018,04-Sep-18,1,1,674,899808,#1103 1688 Pullman Porter Street
2018,04-Sep-18,1,1,552,488000,#1405 5189 Gaston Street
2018,04-Sep-18,1,1,643,488000,#206 663 Gore Avenue
2018,04-Sep-18,1,1,547,539900,#PH5 388 Kootenay Street
2018,23-Oct-18,1,2,817,969000,#402 630 E Broadway Avenue 
2018,23-Oct-18,1,1,519,495000,#803 150 E Cordova Street 
2018,23-Oct-18,1,1,840,638000,#201 1915 E Georgia Street 
2018,23-Oct-18,1,1,555,599000,#811 1777 W 7th Avenue 
2018,23-Oct-18,1,1,480,528000,#618 1330 Burrard Street
2018,23-Oct-18,1,1,586,598888,#1209 983 E Hastings Street 
2018,13-Feb-18,1,1,535,589900,#802 1650 W 7th Avenue
2018,13-Feb-18,1,1,594,598800,#1602 1212 Howe Street
2018,13-Feb-18,1,1,772,555000,#211 2222 Prince Edward Street
2018,13-Feb-18,1,1,671,899900,#2703 1111 Alberni Street
2018,08-Mar-18,1,1,608,749900,#2910 233 ROBSON STREET
2018,08-Mar-18,1,1,609,548800,#304 811 HELMCKEN STREET
2018,08-Mar-18,1,1,708,848000,#2002 1082 SEYMOUR STREET
2018,08-Mar-18,1,1,605,649900,#708 633 ABBOTT STREET
2018,08-Mar-18,1,1,492,595000,#2103 668 CITADEL PARADE
2018,08-Mar-18,1,1,770,699000,#1201 183 KEEFER PLACE
2018,06-Feb-18,2,2,855,950000,#403 989 RICHARDS STREET
2018,06-Feb-18,2,1,839,688000,#316 3038 E KENT AVENUE SOUTH
2018,06-Feb-18,2,2,918,969000,#712 500 W 10TH AVENUE
2018,12-Aug-18,2,1,1943,719000,#109 710 E 6th Ave
2018,27-Oct-18,2,2,905,108000,#1605 1288 Alberni Street
2018,27-Oct-18,2,2,917,548000,#109 2677 E Broadway
2018,22-Jan-18,2,2,966,479000,#309 138 W 18th Street
2018,22-Jan-18,2,2,1175,1495000,#2205 125 E 14th Street
2018,22-Jan-18,2,2,857,699900,#418 147 E 1st Street
2018,20-Feb-18,2,2,1469,3699000,#4402 667 Howe Street
